Kit ID,Borough,Zipcode,Date Collected,Date Recieved,Lead First Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
17245753,BROOKLYN,11218,12/30/2017,01/09/2018 11:37:51 AM,0.001,0.000,,0.332,0.207,
17344975,BROOKLYN,11233,10/20/2017,10/23/2017 02:07:56 PM,0.011,0.028,0.003,0.115,0.017,0.012
17244963,ASTORIA,11106,12/12/2017,12/15/2017 11:02:48 AM,0.002,0.002,,0.026,0.016,
17237985,BROOKLYN,11220,02/16/2017,02/21/2017 12:00:00 AM,0.000,0.000,,0.032,0.010,
17241544,BROOKLYN,11238,05/23/2017,05/26/2017 08:30:46 AM,0.000,0.000,,0.233,0.055,
17245363,NEW YORK,10032,11/14/2017,11/16/2017 11:24:52 AM,0.000,0.000,,0.159,0.132,
17237609,NEW YORK,10003,04/22/2017,04/24/2017 03:13:41 PM,0.001,0.001,,0.140,0.108,
17242976,BAYSIDE,11361,07/01/2017,07/11/2017 01:14:03 PM,0.000,0.000,,0.070,0.049,
17238106,NEW YORK,10033,02/13/2017,02/16/2017 12:00:00 AM,0.001,0.000,,0.111,0.017,
17241596,FLUSHING,11367,05/27/2017,06/01/2017 02:21:33 PM,0.000,0.000,,0.043,0.011,
16235687,BROOKLYN,11222,02/26/2017,03/01/2017 12:00:00 AM,0.000,0.000,,0.232,0.143,
17245039,BROOKLYN,11215,11/21/2017,11/22/2017 01:45:03 PM,0.000,0.000,,0.078,0.013,
17238430,NEW YORK,10033,03/01/2017,03/06/2017 12:00:00 AM,0.000,0.000,,0.093,0.013,
17240102,BELLEROSE,11426,04/15/2017,04/20/2017 02:46:37 PM,0.000,0.000,,0.223,0.098,
17242694,BROOKLYN,11214,06/25/2017,06/28/2017 02:56:51 PM,0.000,0.000,,0.076,0.021,
17239678,BROOKLYN,11238,03/24/2017,03/31/2017 02:46:05 PM,0.003,0.001,,0.342,0.183,
16233466,BELLEROSE,11426,01/08/2017,01/17/2017 12:00:00 AM,0.003,0.003,,0.149,0.144,
17237327,BROOKLYN,11206,01/31/2017,02/02/2017 12:00:00 AM,0.000,0.000,,0.246,0.037,
17237746,ASTORIA,11106,02/08/2017,02/10/2017 12:00:00 AM,0.003,0.000,,0.192,0.032,
17243594,FRESH MEADOWS,11365,07/31/2017,08/04/2017 08:04:17 AM,0.000,0.000,,0.053,0.002,
17237326,NEW YORK,10009,03/07/2017,03/09/2017 12:00:00 AM,0.000,0.000,,0.061,0.031,
17241085,BROOKLYN,11208,05/07/2017,05/11/2017 02:58:44 PM,0.000,0.000,,0.088,0.011,
17239833,BROOKLYN,11211,03/20/2017,03/22/2017 03:07:37 PM,0.001,0.000,,0.146,0.018,
17245858,REGO PARK,11374,12/02/2017,12/11/2017 02:57:54 PM,0.000,0.000,,0.136,0.013,
17241188,BROOKLYN,11214,10/28/2017,11/03/2017 02:20:08 PM,0.000,0.000,,0.058,0.024,
17240934,NEW YORK,10034,05/08/2017,05/19/2017 09:01:02 AM,0.002,0.000,,0.115,0.027,
17237230,MASPETH,11378,01/28/2017,01/30/2017 12:00:00 AM,0.000,0.000,,0.218,0.105,
14220529,BROOKLYN,11235,08/09/2017,08/14/2017 03:15:27 PM,0.000,0.000,,0.112,0.027,
17245143,BROOKLYN,11223,11/14/2017,11/16/2017 11:24:52 AM,0.000,0.000,,0.161,0.019,
17237245,NEW YORK,10017,05/03/2017,05/05/2017 01:59:57 PM,0.000,0.000,,0.050,0.016,
17244080,NEW YORK,10003,08/30/2017,09/05/2017 04:13:42 PM,0.000,0.000,,0.045,0.021,
17238052,NEW YORK,10044,02/14/2017,02/21/2017 12:00:00 AM,0.000,0.000,,0.151,0.086,
17237027,EAST ELMHURST,11370,01/23/2017,01/30/2017 12:00:00 AM,0.000,0.000,,0.133,0.140,
17242962,NEW YORK,10025,08/16/2017,08/23/2017 11:14:19 AM,0.000,0.000,,0.136,0.125,
17238155,NEW YORK,10034,03/26/2017,03/31/2017 09:59:00 AM,0.000,0.000,,0.094,0.076,
17243729,BROOKLYN,11234,08/09/2017,08/14/2017 03:07:27 PM,0.006,0.022,,0.061,0.020,
17244094,BRONX,10472,08/31/2017,09/05/2017 04:13:42 PM,0.000,0.000,,0.140,0.013,
17239736,BROOKLYN,11232,03/21/2017,03/29/2017 03:15:21 PM,0.000,0.000,,0.185,0.071,
17245902,NEW YORK,10003,12/03/2017,12/08/2017 11:02:19 AM,0.000,0.000,,0.110,0.104,
17237938,BROOKLYN,11226,02/20/2017,02/27/2017 12:00:00 AM,0.000,0.000,,0.071,0.012,
17240191,BROOKLYN,11201,04/05/2017,04/11/2017 10:35:24 AM,0.000,0.000,,0.162,0.065,
17242863,NEW YORK,10027,06/26/2017,06/28/2017 02:56:51 PM,0.020,0.000,,0.047,0.014,
17242406,NEW YORK,10044,06/05/2017,06/09/2017 03:20:05 PM,0.000,0.000,,0.165,0.102,
17246225,NEW YORK,10075,12/16/2017,12/26/2017 02:16:04 PM,0.000,0.000,,0.148,0.034,
17244574,MIDDLE VILLAGE,11379,10/04/2017,10/13/2017 02:26:30 PM,0.000,0.000,,0.079,0.030,
16236586,SPRINGFIELD GARDENS,11413,02/06/2017,02/10/2017 12:00:00 AM,0.002,0.000,,0.243,0.013,
17237598,BROOKLYN,11235,02/03/2017,02/07/2017 12:00:00 AM,0.000,0.000,,0.232,0.013,
17239891,JAMAICA,11432,03/24/2017,03/31/2017 09:59:00 AM,0.000,0.000,,0.268,0.026,
16230993,NEW YORK,10075,03/14/2017,03/20/2017 07:57:32 AM,0.000,0.000,,0.148,0.054,
17239549,KEW GARDENS,11415,03/12/2017,03/21/2017 10:04:54 AM,0.000,0.000,,0.156,0.041,
17237341,BROOKLYN,11216,01/26/2017,01/30/2017 12:00:00 AM,0.000,0.000,,0.186,0.087,
